"","read_state","count"
"1","Alabama",34
"2","Alaska",12
"3","Arizona",42
"4","Arkansas",13
"5","California",593
"6","Colorado",24
"7","Connecticut",23
"8","Delaware",5
"9","District of Columbia",169
"10","Florida",196
"11","Georgia",87
"12","Hawaii",18
"13","Idaho",8
"14","Illinois",141
"15","Indiana",21
"16","Iowa",28
"17","Kansas",379
"18","Kentucky",21
"19","Louisiana",25
"20","Maine",16
"21","Maryland",43
"22","Massachusetts",111
"23","Michigan",125
"24","MichiganPennsylvania",2
"25","Minnesota",47
"26","Mississippi",17
"27","Missouri",47
"28","Montana",4
"29","Nebraska",7
"30","Nevada",41
"31","New Hampshire",24
"32","New Jersey",74
"33","New Mexico",8
"34","New York",426
"35","North Carolina",98
"36","Ohio",71
"37","Oklahoma",25
"38","Oregon",81
"39","Pennsylvania",115
"40","Rhode Island",15
"41","South Carolina",43
"42","South Dakota",5
"43","Tennessee",59
"44","Texas",289
"45","Utah",11
"46","Virginia",55
"47","Washington",104
"48","West Virginia",3
"49","Wisconsin",49
"50","Wyoming",4
