"","X","read_state","count","lon","lat"
"1",1,"Alabama",34,-86.902298,32.3182314
"3",3,"Arizona",42,-111.0937311,34.0489281
"4",4,"Arkansas",13,-91.8318334,35.20105
"5",5,"California",593,-119.4179324,36.778261
"6",6,"Colorado",24,-105.7820674,39.5500507
"7",7,"Connecticut",23,-73.087749,41.6032207
"8",8,"Delaware",5,-75.5276699,38.9108325
"9",9,"District of Columbia",169,-77.0368707,38.9071923
"10",10,"Florida",196,-81.5157535,27.6648274
"11",11,"Georgia",87,-82.9000751,32.1656221
"13",13,"Idaho",8,-114.7420408,44.0682019
"14",14,"Illinois",141,-89.3985283,40.6331249
"15",15,"Indiana",21,-86.1349019,40.2671941
"16",16,"Iowa",28,-93.097702,41.8780025
"17",17,"Kansas",379,-98.4842465,39.011902
"18",18,"Kentucky",21,-84.2700179,37.8393332
"19",19,"Louisiana",25,-91.9623327,30.9842977
"20",20,"Maine",16,-69.4454689,45.253783
"21",21,"Maryland",43,-76.6412712,39.0457549
"22",22,"Massachusetts",111,-71.3824374,42.4072107
"23",23,"Michigan",125,-85.6023643,44.3148443
"24",24,"MichiganPennsylvania",2,-76.7635227,39.9579034
"25",25,"Minnesota",47,-94.6858998,46.729553
"26",26,"Mississippi",17,-89.3985283,32.3546679
"27",27,"Missouri",47,-91.8318334,37.9642529
"28",28,"Montana",4,-110.3625658,46.8796822
"29",29,"Nebraska",7,-99.9018131,41.4925374
"30",30,"Nevada",41,-116.419389,38.8026097
"31",31,"New Hampshire",24,-71.5723953,43.1938516
"32",32,"New Jersey",74,-74.4056612,40.0583238
"33",33,"New Mexico",8,-105.8700901,34.5199402
"34",34,"New York",426,-74.0059413,40.7127837
"35",35,"North Carolina",98,-79.0192997,35.7595731
"36",36,"Ohio",71,-82.907123,40.4172871
"37",37,"Oklahoma",25,-97.092877,35.0077519
"38",38,"Oregon",81,-120.5542012,43.8041334
"39",39,"Pennsylvania",115,-77.1945247,41.2033216
"40",40,"Rhode Island",15,-71.4774291,41.5800945
"41",41,"South Carolina",43,-81.1637245,33.836081
"42",42,"South Dakota",5,-99.9018131,43.9695148
"43",43,"Tennessee",59,-86.5804473,35.5174913
"44",44,"Texas",289,-99.9018131,31.9685988
"45",45,"Utah",11,-111.0937311,39.3209801
"46",46,"Virginia",55,-78.6568942,37.4315734
"47",47,"Washington",104,-120.7401386,47.7510741
"48",48,"West Virginia",3,-80.4549026,38.5976262
"49",49,"Wisconsin",49,-88.7878678,43.7844397
"50",50,"Wyoming",4,-107.2902839,43.0759678
