"","geo_reply.1.","geo_reply.2."
"1",-111.9260519,33.4941704
"2",-111.9260519,33.4941704
"3",141.3543763,43.0620958
"4",34.758355,32.049357
"5",-111.9260519,33.4941704
"6",-90.1994042,38.6270025
"7",-102.4107493,34.2331373
"8",-3.435973,55.378051
"9",-81.5157535,27.6648274
"10",2.3522219,48.856614
"11",-93.0899578,44.9537029
"12",-70.162651,18.735693
"13",-79.1294724,35.4313268
"14",-99.9018131,31.9685988
"15",NA,NA
"16",-90.0489801,35.1495343
"17",-119.4179324,36.778261
"18",-123.0867536,44.0520691
"19",-86.1586156,41.6619927
"20",-74.0059413,40.7127837
"21",36.8173463,-1.2958752
"22",-78.6568942,37.4315734
"23",-118.2436849,34.0522342
"24",-81.3792365,28.5383355
"25",-95.712891,37.09024
"26",-98.4936282,29.4241219
"27",-74.0059413,40.7127837
"28",-79.9282319,37.0560106
"29",-71.8272871,41.3775987
"30",NA,NA
"31",-71.0588801,42.3600825
"32",-93.2650108,44.977753
"33",-122.4442906,47.2528768
"34",-84.5120196,39.1031182
"35",-0.1277583,51.5073509
"36",-105.084423,40.5852602
"37",-71.0588801,42.3600825
"38",-80.4549026,38.5976262
"39",NA,NA
"40",-116.419389,34.9592083
"41",NA,NA
"42",-17.0280279,65.4713712
"43",-80.0519859,26.5867358
"44",NA,NA
"45",-74.4056612,40.0583238
"46",-80.2992185,36.0711649
"47",-71.5723953,43.1938516
"48",-122.4014193,37.4337342
"49",28.9783589,41.0082376
"50",36.080026,-0.3030988
"51",-119.4179324,36.778261
"52",21.2570307,45.7659345
"53",-111.0937311,34.0489281
"54",-112.1221652,33.4926777
"55",-73.9452135,40.8088165
"56",-74.0059413,40.7127837
"57",-110.9700366,32.2136941
"58",-71.0994968,42.3875968
"59",-1.1743197,52.3555177
"60",-98.4936282,29.4241219
"61",-73.9712488,40.7830603
"62",-79.3831843,43.653226
"63",-95.3698028,29.7604267
"64",-85.6023643,44.3148443
"65",-74.0059413,40.7127837
"66",-73.134961,40.789142
"67",-118.3089661,34.1808392
"68",-116.5634624,43.5407172
"69",10.7522454,59.9138688
"70",-71.0588801,42.3600825
"71",-95.712891,37.09024
"72",-75.5276699,38.9108325
"73",-95.712891,37.09024
"74",-81.0558894,29.2858129
"75",-82.9000751,32.1656221
"76",-4.2026458,56.4906712
"77",-112.0740373,33.4483771
"78",-97.7430608,30.267153
"79",-122.3320708,47.6062095
"80",-81.5157535,27.6648274
"81",-5.558459,33.882634
"82",-97.0403352,32.8998091
"83",-77.2725499,38.8430961
"84",-74.0059413,40.7127837
"85",-74.0059413,40.7127837
"86",-99.9018131,31.9685988
