"","geo_reply.1.","geo_reply.2."
"1",-73.9441579,40.6781784
"2",-75.1652215,39.9525839
"3",-70.9915997,42.4136428
"4",-0.1277583,51.5073509
"5",79.861243,6.9270786
"6",-97.526797,35.6886993
"7",-110.926479,32.2217429
"8",103.819836,1.352083
"9",-95.712891,37.09024
"10",-81.7030619,41.4846863
"11",-119.4179324,36.778261
"12",-81.269453,28.8028612
"13",-87.655439,41.8909778
"14",NA,NA
"15",-93.2060163,37.0208865
"16",NA,NA
"17",-5.9844589,37.3890924
"18",7.125102,43.580418
"19",-75.1652215,39.9525839
"20",-118.3762533,34.0778692
"21",-95.712891,37.09024
"22",-87.771964,41.909611
"23",8.675277,9.081999
"24",100.5017651,13.7563309
"25",-82.2652846,35.7647092
"26",-79.3831843,43.653226
"27",-95.3698028,29.7604267
"28",-87.9033261,30.5229719
"29",-77.0368707,38.9071923
"30",-73.9441579,40.6781784
"31",-94.6707917,38.9822282
"32",-80.1494901,26.0112014
"33",-77.0368707,38.9071923
"34",12.547805,55.6928897
"35",-122.0310733,37.9779776
"36",NA,NA
"37",-118.2436849,34.0522342
"38",-77.0368707,38.9071923
"39",-84.5120196,39.1031182
"40",-77.9447102,34.2257255
"41",-119.4179324,36.778261
"42",NA,NA
"43",51.5310398,25.2854473
"44",-89.5181476,37.3058839
"45",-88.7878678,43.7844397
"46",NA,NA
"47",-77.026088,38.9906657
"48",-122.3320708,47.6062095
"49",-82.907123,40.4172871
"50",-77.6109219,43.16103
"51",35.21371,31.768319
"52",-77.0368707,38.9071923
"53",-121.4943996,38.5815719
"54",NA,NA
"55",-99.133208,19.4326077
"56",-104.990251,39.7392358
"57",-122.2913078,37.8271784
"58",8.675277,9.081999
"59",-74.0059413,40.7127837
"60",-95.712891,37.09024
"61",NA,NA
"62",-79.0192997,35.7595731
"63",-97.092877,35.0077519
"64",-85.3232139,51.253775
"65",-81.0678844,39.660074
"66",NA,NA
"67",-118.3988556,33.8627421
"68",17.7948189,50.6411215
"69",-82.907123,40.4172871
"70",-116.793641,47.714586
"71",-95.712891,37.09024
"72",-81.5157535,27.6648274
"73",-94.2396554,34.5862171
"74",-4.600263,53.300496
"75",-77.0368707,38.9071923
"76",-119.4179324,36.778261
"77",NA,NA
"78",-0.4330578,49.1213315
"79",-116.419389,34.9592083
"80",4.3517103,50.8503396
"81",-94.6858998,46.729553
"82",-95.3698028,29.7604267
"83",-77.0368707,38.9071923
"84",-86.1086228,41.9842123
"85",-80.1917902,25.7616798
"86",-90.8756662,14.500461
"87",-117.7946942,33.6839473
"88",-122.4290335,37.7636866
"89",-3.74922,40.463667
"90",-79.532157,43.8169837
"91",-87.6876969,42.0450722
"92",-95.992775,36.1539816
"93",-111.8314724,33.4151843
"94",-85.6023643,44.3148443
"95",-112.0740373,33.4483771
"96",-0.1277583,51.5073509
"97",-3.8489895,40.1262812
"98",NA,NA
"99",NA,NA
"100",-82.6365536,39.0520169
"101",-70.2553259,43.661471
"102",-117.8521964,33.6769719
"103",-122.3320708,47.6062095
"104",-115.1398296,36.1699412
"105",-80.3972736,27.6386434
"106",-111.8910474,40.7607793
"107",-0.7671239,51.6825216
"108",-65.2175903,-26.8082848
"109",NA,NA
"110",4.8951679,52.3702157
"111",-77.0368707,38.9071923
"112",-80.1917902,25.7616798
"113",-81.6943605,41.49932
"114",NA,NA
"115",-77.0074765,38.9778882
"116",NA,NA
"117",-73.9548041,40.7373416
"118",NA,NA
"119",NA,NA
"120",-71.0588801,42.3600825
"121",-99.1732936,18.8954874
"122",-91.8318334,35.20105
"123",-74.0059413,40.7127837
"124",NA,NA
"125",-87.6297982,41.8781136
"126",-74.0059413,40.7127837
"127",-91.6080974,41.739482
"128",-84.3879824,33.7489954
"129",69.345116,30.375321
"130",-95.712891,37.09024
"131",-81.5157535,27.6648274
"132",-87.6337605,41.8299411
"133",73.536101,1.9772276
"134",NA,NA
"135",-92.4421011,35.0886963
"136",-122.310765,37.9161326
"137",-77.0368707,38.9071923
"138",-97.1629711,35.4051058
"139",-73.9345122,40.6690973
"140",NA,NA
"141",NA,NA
"142",NA,NA
"143",-112.148762,33.442821
"144",-70.8226541,43.9653889
"145",-76.6412712,39.0457549
"146",-81.2452768,42.9849233
"147",-95.712891,37.09024
"148",-87.6297982,41.8781136
"149",NA,NA
"150",-122.3320708,47.6062095
"151",-0.1277583,51.5073509
"152",-93.4029398,44.9012479
"153",-74.730345,45.0212762
"154",-4.6679959,55.3649698
"155",-112.0740373,33.4483771
"156",-89.568185,42.9969631
"157",-0.1277583,51.5073509
"158",-75.1652215,39.9525839
"159",-117.1610838,32.715738
"160",144.963056,-37.813611
"161",-1.1743197,52.3555177
"162",-81.225214,42.990577
"163",-76.6412712,39.0457549
"164",-115.1398296,36.1699412
"165",-86.2519898,41.6763545
"166",-85.7851535,36.1418734
"167",-79.9248669,40.5133572
"168",-106.6055534,35.0853336
"169",-122.8231915,47.0342629
"170",-118.2436849,34.0522342
"171",-77.0368707,38.9071923
"172",-3.6936531,40.3597252
"173",-118.2436849,34.0522342
"174",-123.8264512,46.5180824
"175",-74.4056612,40.0583238
"176",12.5683371,55.6760968
"177",14.4378005,50.0755381
"178",-87.9064736,43.0389025
"179",-83.0457538,42.331427
"180",-70.2553259,43.661471
"181",-97.3307658,32.7554883
"182",-77.0368707,38.9071923
"183",-81.7195533,33.5604168
"184",-75.1667929,39.9541164
"185",-99.9018131,31.9685988
"186",-122.23611,48.50389
"187",-97.3307658,32.7554883
"188",-124.5247062,49.8352352
"189",151.2092955,-33.8688197
"190",-81.5157535,27.6648274
"191",-75.4268251,40.0707887
"192",-80.8055749,28.5928353
"193",-77.0368707,38.9071923
"194",-85.3232139,51.253775
"195",-73.134961,40.789142
"196",-66.9036063,10.4805937
"197",-76.4371783,36.9882362
"198",-77.0368707,38.9071923
"199",-79.0192997,35.7595731
"200",39.6682065,-4.0434771
"201",-0.372882,50.81787
"202",-73.9712488,40.7830603
"203",-76.8867008,40.2731911
"204",100.5017651,13.7563309
"205",-74.4056612,40.0583238
"206",9.9936818,53.5510846
"207",-106.6055534,35.0853336
"208",-117.1610838,32.715738
"209",-95.712891,37.09024
"210",-74.0059413,40.7127837
"211",-80.2962555,26.007765
"212",-121.2880059,38.7521235
"213",-117.1610838,32.715738
"214",-99.9018131,31.9685988
"215",-85.7584557,38.2526647
"216",-121.4943996,38.5815719
"217",-95.712891,37.09024
"218",-87.9020186,42.3702996
"219",-95.712891,37.09024
"220",-122.2913078,37.8271784
"221",-95.712891,37.09024
"222",-94.6858998,46.729553
"223",-0.1277583,51.5073509
"224",-120.7401386,47.7510741
"225",-81.5157535,27.6648274
"226",-118.2436849,34.0522342
"227",-118.4389719,34.2819461
"228",-8.4983411,41.188745
"229",-121.9342555,37.2930818
"230",NA,NA
"231",-119.0187125,35.3732921
"232",-76.3984537,37.0749499
"233",-73.985528,40.748431
"234",-71.0588801,42.3600825
"235",-77.3971839,34.5526655
"236",100.5017651,13.7563309
"237",-122.4056395,37.7785189
"238",NA,NA
"239",0.68484,47.394144
"240",15.6471178,40.0660676
"241",-73.991487,40.7457547
"242",-95.712891,37.09024
"243",-86.2129319,44.1108055
"244",-77.1945247,41.2033216
"245",151.2092955,-33.8688197
"246",-77.0368707,38.9071923
"247",58.3260629,37.9600766
"248",-77.0368707,38.9071923
"249",NA,NA
"250",-82.907123,40.4172871
"251",-74.0059413,40.7127837
"252",-66.590149,18.220833
"253",NA,NA
"254",NA,NA
"255",-74.0059413,40.7127837
"256",101.518461,3.073281
"257",-83.9811014,34.1140497
"258",-70.6692655,-33.4488897
"259",-77.6109219,43.16103
"260",-70.8226541,43.9653889
"261",-102.4107493,34.2331373
"262",-0.1277583,51.5073509
"263",-97.7430608,30.267153
"264",-71.0588801,42.3600825
"265",-118.2436849,34.0522342
"266",-81.0998342,32.0835407
"267",-80.5204096,43.4642578
"268",-117.8869261,33.8829226
"269",-3.818903,50.98433
"270",-94.6858998,46.729553
"271",NA,NA
"272",-77.0368707,38.9071923
"273",-121.1167902,39.0622936
"274",-95.712891,37.09024
"275",-119.4179324,36.778261
"276",-95.712891,37.09024
"277",-94.5785667,39.0997265
"278",-80.0533746,26.7153424
"279",-87.6322642,41.8777321
"280",NA,NA
"281",-0.1340401,51.5245592
"282",34.7817676,32.0852999
"283",-81.655651,30.3321838
"284",-84.5499327,33.952602
"285",-7.0635497,52.2376029
"286",121.0244452,14.554729
"287",-97.1383744,49.895136
"288",-121.6219177,39.7596061
"289",-96.4527891,32.6911521
"290",36.8219462,-1.2920659
"291",-3.435973,55.378051
"292",-74.4056612,40.0583238
"293",-80.3468593,25.5808323
"294",153.051,-27.482
"295",25.013607,58.595272
"296",-79.3831843,43.653226
"297",-75.5812119,6.244203
"298",-80.0519859,26.5867358
"299",-74.0059413,40.7127837
"300",-4.2026458,56.4906712
"301",-116.419389,34.9592083
"302",4.3006999,52.0704978
"303",-99.9018131,31.9685988
"304",-77.0368707,38.9071923
"305",-98.4842465,39.011902
"306",2.3522219,48.856614
"307",-99.9018131,31.9685988
"308",-118.6614809,34.1367208
"309",-82.907123,40.4172871
"310",-77.0368707,38.9071923
"311",-64.6866092,10.19062
"312",-118.2973745,34.0130011
"313",-74.0059413,40.7127837
"314",-74.0059413,40.7127837
"315",-122.6362492,47.5403732
"316",-77.1945247,41.2033216
"317",-74.0059413,40.7127837
"318",-118.1674526,33.7856197
"319",-89.5925857,20.9673702
"320",-73.9441579,40.6781784
"321",-86.902298,32.3182314
"322",NA,NA
"323",-105.7820674,39.5500507
"324",-97.0780654,32.9342919
"325",-118.390279,34.067432
"326",-118.2436849,34.0522342
"327",-95.712891,37.09024
"328",NA,NA
"329",-81.6943605,41.49932
"330",-84.0043513,34.1206564
"331",-106.346771,56.130366
"332",-87.9033261,30.5229719
"333",-75.6624122,41.408969
"334",NA,NA
"335",-112.2373779,33.5805955
"336",-78.7076853,43.1671396
"337",-0.2258892,51.4914876
"338",NA,NA
"339",-122.5583155,38.8079573
"340",-112.0740373,33.4483771
"341",NA,NA
"342",-119.4179324,36.778261
"343",-123.8264512,46.5180824
"344",-73.9441579,40.6781784
"345",-87.6297982,41.8781136
"346",-95.712891,37.09024
"347",-111.0937311,39.3209801
"348",NA,NA
"349",-85.5872286,42.2917069
"350",-82.5402916,35.5550078
"351",NA,NA
"352",-74.4056612,40.0583238
"353",-80.6501498,41.1017943
"354",-90.1994042,38.6270025
"355",-79.0192997,35.7595731
"356",-73.9891101,40.7342763
"357",-90.0489801,35.1495343
"358",-74.0059413,40.7127837
"359",-119.574224,38.2692123
"360",-122.272747,37.8715926
"361",-80.2297697,27.2544906
"362",-106.346771,56.130366
"363",3.6067452,36.7677767
"364",-121.8374777,39.7284944
"365",-97.4974838,25.9017472
"366",-122.4226439,37.7695642
"367",-77.3570028,38.9586307
"368",-0.1277583,51.5073509
"369",-104.8730088,39.8675693
"370",-95.3698028,29.7604267
"371",-83.0363633,42.3149367
"372",-118.2436849,34.0522342
"373",-93.2650108,44.977753
"374",-95.571231,30.220194
"375",-120.7401386,47.7510741
"376",-117.9536697,33.7091847
"377",51.5310398,25.2854473
"378",-74.0059413,40.7127837
"379",-90.1994042,38.6270025
"380",-84.263826,39.2689476
"381",-74.0059413,40.7127837
"382",-118.2436849,34.0522342
"383",-117.1610838,32.715738
"384",-118.0372852,33.8169599
"385",-1.0784043,52.9646817
"386",-75.7360253,41.5342441
"387",-72.5747934,42.2591729
"388",-77.0118235,38.877332
"389",-73.9441579,40.6781784
"390",-79.1294724,35.4313268
"391",-63.616672,-38.416097
"392",-1.1743197,52.3555177
"393",-111.0937311,34.0489281
"394",-78.6568942,37.4315734
"395",-87.6297982,41.8781136
"396",-76.6121893,39.2903848
"397",-80.1494901,26.0112014
"398",105.318756,61.52401
"399",-73.9739119,40.7623737
"400",22.937506,-30.559482
"401",-1.9927105,51.3491996
"402",-73.9712488,40.7830603
"403",-117.7946942,33.6839473
"404",-58.3815591,-34.6036844
"405",NA,NA
"406",-66.9036063,10.4805937
"407",-85.6023643,44.3148443
"408",NA,NA
"409",-80.1917902,25.7616798
