"","psraid","age","race","sex","inc","cable1","q5f","q5d","date2a","game1","game3a","job5d","snsjob2a","ideo"
"1",100006,47,1,2,99,1,NA,NA,2,2,2,NA,2,1
"2",100009,63,2,2,6,1,1,2,2,1,1,NA,NA,3
"3",100011,86,1,2,3,1,2,2,NA,9,2,NA,NA,1
"4",100039,40,1,2,6,1,1,2,2,2,1,1,2,2
"5",100040,65,1,2,3,1,NA,NA,NA,1,2,NA,2,1
"6",100043,69,1,2,8,1,NA,NA,2,2,2,1,2,3
"7",100049,72,1,1,99,1,NA,NA,NA,2,1,NA,NA,1
"8",100051,70,1,1,7,1,NA,NA,NA,2,1,NA,NA,2
"9",100058,77,1,1,6,1,1,1,2,2,2,NA,2,5
"10",100059,73,1,1,3,1,NA,NA,NA,2,2,NA,NA,4
"11",100060,81,1,2,99,1,NA,NA,2,2,2,NA,NA,3
"12",100065,77,1,2,99,1,NA,NA,NA,1,2,NA,2,3
"13",100067,52,1,1,8,1,NA,NA,2,1,2,2,2,2
"14",100079,74,1,2,6,1,NA,NA,2,1,2,NA,2,2
"15",100080,43,1,2,98,1,1,1,2,1,1,1,1,3
"16",100084,44,1,2,7,1,1,1,2,2,1,1,2,2
"17",100091,68,1,1,4,1,1,1,2,2,8,NA,NA,2
"18",100096,87,2,1,4,1,2,2,NA,2,1,NA,NA,4
"19",100102,68,1,2,99,1,2,2,NA,2,1,NA,2,4
"20",100118,58,1,1,7,1,2,1,2,2,1,1,2,3
"21",100129,31,5,2,2,2,NA,NA,NA,1,1,1,1,3
"22",100134,85,1,1,6,1,NA,NA,NA,2,2,NA,NA,3
"23",100141,93,1,2,1,1,NA,NA,NA,2,1,NA,NA,4
"24",100142,57,1,1,6,1,1,2,NA,2,2,1,NA,1
"25",100143,70,1,1,9,1,2,2,NA,2,8,NA,NA,4
"26",100151,36,2,2,7,2,NA,NA,2,2,1,NA,NA,8
"27",100152,39,1,2,6,2,NA,NA,NA,1,1,NA,2,2
"28",100156,85,1,2,1,1,2,2,NA,2,1,NA,NA,3
"29",100161,76,1,2,6,1,1,1,2,2,1,NA,2,5
"30",100163,63,1,2,6,2,2,2,NA,2,2,2,NA,3
"31",100176,66,2,2,5,1,NA,NA,NA,1,8,NA,NA,2
"32",100177,57,1,2,7,1,NA,NA,2,2,1,NA,2,9
"33",100178,19,1,1,2,1,1,2,2,1,1,2,2,3
"34",100180,28,1,1,3,1,NA,NA,NA,1,2,1,NA,2
"35",100194,49,1,2,8,1,2,2,NA,2,1,NA,NA,3
"36",100205,45,1,2,4,1,2,2,2,1,2,1,2,8
"37",100206,75,1,2,1,2,NA,NA,NA,2,8,NA,NA,3
"38",100207,60,1,1,2,1,NA,NA,2,2,8,NA,NA,4
"39",100208,52,2,2,4,1,NA,NA,NA,1,1,NA,2,4
"40",100209,58,1,1,3,1,NA,NA,NA,1,2,NA,NA,1
"41",100223,67,1,2,4,1,NA,NA,2,2,2,NA,NA,2
"42",100229,80,1,2,3,1,NA,NA,NA,1,1,NA,2,2
"43",100235,73,1,2,5,1,2,2,NA,2,2,1,2,2
"44",100239,19,1,2,4,2,1,1,1,1,1,1,1,4
"45",100252,70,1,1,5,1,2,2,NA,2,1,1,NA,1
"46",100254,25,1,1,99,1,NA,NA,2,1,1,2,2,2
"47",100256,81,1,1,9,1,2,2,2,2,8,NA,NA,3
"48",100259,75,1,2,98,1,NA,NA,2,1,8,NA,NA,4
"49",100262,51,1,1,7,1,2,2,NA,2,2,2,NA,2
"50",100266,73,1,2,8,1,2,2,2,1,1,2,NA,4
"51",100272,40,1,2,8,1,NA,NA,2,2,1,2,2,3
"52",100285,78,1,1,6,2,NA,NA,NA,1,2,NA,2,4
"53",100287,61,1,2,4,1,2,2,NA,2,2,NA,2,2
"54",100289,75,1,2,98,1,2,2,NA,2,1,NA,NA,2
"55",100298,37,1,2,7,1,1,1,2,2,1,1,2,3
"56",100300,56,1,2,1,2,NA,NA,NA,2,1,NA,NA,3
"57",100301,61,1,1,9,1,NA,NA,2,2,1,1,2,1
"58",100307,60,1,2,3,1,NA,NA,NA,2,1,1,NA,2
"59",100308,27,1,2,5,2,NA,NA,NA,2,1,NA,NA,8
"60",100310,43,3,2,9,1,1,2,2,1,8,2,1,4
"61",100316,72,1,2,5,1,NA,NA,2,2,1,NA,NA,1
"62",100320,99,9,2,99,1,NA,NA,NA,2,1,NA,NA,4
"63",100324,69,1,1,4,2,2,2,NA,2,1,NA,NA,1
"64",100333,70,1,1,5,1,2,2,NA,2,2,NA,NA,1
"65",100335,45,9,1,9,1,NA,NA,2,2,1,1,1,5
"66",100346,73,1,2,4,1,NA,NA,NA,2,1,NA,NA,3
"67",100349,82,2,2,3,1,NA,NA,NA,2,1,NA,NA,2
"68",100352,72,1,1,6,1,NA,NA,NA,2,1,NA,NA,2
"69",100356,66,1,2,5,1,1,2,2,1,2,NA,2,2
"70",100360,67,1,2,6,2,1,1,2,1,2,NA,2,2
"71",100363,70,2,2,7,1,NA,NA,NA,2,8,NA,2,3
"72",100364,53,1,2,4,1,NA,NA,NA,2,1,1,NA,4
