"","player_api_id","player_name","player_fifa_id","overall_rating","gk_rating","num_app","num_leagues"
"1",2625,"Patryk Rachwal,18",148544,63,153,90,1
"2",2752,"Diego Mainz",135819,72,53,81,1
"3",2768,"Jose Dorado",110019,75,128,71,1
"4",2770,"Ignacio Gonzalez",182861,74,148,16,2
"5",2790,"Alberto Rey",110809,73,144,50,1
"6",2796,"Javier Jimenez",198735,69,340,1,1
"7",2802,"Pablo Hernandez",179591,82,146,144,2
"8",2805,"Ruben Perez",190156,76,141,131,1
"9",2857,"Ivan Perez",192720,72,143,3,1
"10",2862,"Vicente Sanchez",140141,76,146,17,1
"11",2907,"Gregory Lacombe",53023,NA,NA,6,1
"12",2973,"Ugur Inceman",48738,72,147,16,1
"13",2977,"David Rivas Rodriguez",134594,82,104,5,1
"14",2983,"Jorge Molina",154472,75,139,71,1
"15",2984,"Sergio Aragones",111106,75,364,38,1
"16",3140,"Alexandre Hauw",49467,69,136,42,1
"17",3204,"Marat Izmailov",147455,81,156,42,1
"18",3263,"Kelly Berville",52031,67,115,19,1
"19",3264,"Abdelmalek Cherrad",51868,62,98,1,1
"20",3316,"Oscar Sanchez",146501,71,108,6,1
"21",3329,"Vincent Euvrard",51479,64,130,85,1
"22",3377,"Luca Belingheri",102084,72,138,1,1
"23",3441,"Aleksander Radosavljevic",167285,71,138,74,1
"24",3512,"Peter Halmosi",53071,75,143,4,1
"25",3517,"Alexandr Kerzhakov",109416,NA,NA,17,1
"26",3520,"Andrey Arshavin",147777,86,159,70,1
"27",4747,"Lee Wilkie",139578,73,128,36,1
"28",4863,"Boban Grncarov",142579,66,54,25,1
"29",4902,"Iriney",135820,77,145,68,1
"30",4939,"Tim Clancy",163582,64,116,97,1
"31",4999,"Sebastian Olszar",138380,59,108,49,1
"32",5016,"Ibrahim Sidibe",208966,65,50,69,1
"33",5044,"Jeroen Verhoeven",137692,68,344,21,1
"34",5047,"Wilko de Vogt",54053,61,309,10,1
"35",5063,"Sander Duits",148866,68,61,106,1
"36",5184,"Gudmundur Steinarsson",103288,62,108,5,1
"37",5192,"Manuel Silas",13119,72,146,52,1
"38",5202,"Remy Gomis",112352,73,139,163,1
"39",5217,"Laurent Batlles",117096,77,140,102,1
"40",5223,"Raffaele Rubino",137425,63,52,7,1
