"","team_api_id","team_fifa_api_id","team_long_name","buildUpPlay","chanceCreation","defense","goals"
"1",9987,673,"KRC Genk",148,182,205,348
"2",9993,675,"Beerschot AC",110,185,210,174
"3",10000,15005,"SV Zulte-Waregem",147,153,200,306
"4",9994,2007,"Sporting Lokeren",159,154,200,279
"5",9984,1750,"KSV Cercle Brugge",145,200,195,213
"6",8635,229,"RSC Anderlecht",149,182,190,427
"7",9991,674,"KAA Gent",142,184,166,390
"8",9998,1747,"RAEC Mons",160,168,138,129
"9",7947,0,"FCV Dender EH",0,0,0,44
"10",9985,232,"Standard de Liège",161,182,205,341
"11",8203,110724,"KV Mechelen",134,150,190,285
"12",8342,231,"Club Brugge KV",139,170,200,421
"13",9999,546,"KSV Roeselare",125,125,205,62
"14",8571,100081,"KV Kortrijk",129,159,185,267
"15",4049,0,"Tubize",0,0,0,35
"16",9996,111560,"Royal Excel Mouscron",150,150,140,42
"17",10001,681,"KVC Westerlo",148,167,210,217
"18",9986,670,"Sporting Charleroi",160,148,210,201
"19",9997,680,"Sint-Truidense VV",107,154,150,115
"20",9989,239,"Lierse SK",171,169,159,113
"21",6351,2013,"KAS Eupen",105,160,155,28
"22",1773,100087,"Oud-Heverlee Leuven",153,157,137,126
"23",8475,110913,"Waasland-Beveren",132,140,114,105
"24",8573,682,"KV Oostende",155,140,133,102
"25",274581,111560,"Royal Excel Mouscron",150,150,140,71
"26",10260,11,"Manchester United",134,200,163,582
"27",10261,13,"Newcastle United",152,195,161,324
"28",9825,1,"Arsenal",140,150,170,573
"29",8659,109,"West Bromwich Albion",145,195,210,305
"30",8472,106,"Sunderland",154,195,165,333
"31",8650,9,"Liverpool",171,180,172,531
"32",8654,19,"West Ham United",184,171,140,326
"33",8528,1917,"Wigan Athletic",144,190,165,200
"34",10252,2,"Aston Villa",170,185,145,335
"35",8456,10,"Manchester City",130,210,180,606
"36",8668,7,"Everton",137,180,180,439
"37",8655,3,"Blackburn Rovers",185,185,160,175
"38",8549,12,"Middlesbrough",144,190,147,28
"39",8586,18,"Tottenham Hotspur",133,210,181,481
"40",8559,4,"Bolton Wanderers",167,185,154,181
"41",10194,1806,"Stoke City",150,195,153,322
"42",8667,1952,"Hull City",151,195,210,144
"43",9879,144,"Fulham",142,190,138,265
"44",8455,5,"Chelsea",157,200,168,583
"45",8462,1790,"Portsmouth",148,195,150,72
"46",8658,88,"Birmingham City",174,210,210,75
"47",8602,110,"Wolverhampton Wanderers",140,210,210,118
"48",8191,1796,"Burnley",154,210,205,70
"49",8483,1926,"Blackpool",183,205,210,55
"50",10003,1960,"Swansea City",135,210,210,233
"51",10172,15,"Queens Park Rangers",141,210,210,115
"52",9850,1792,"Norwich City",140,195,200,160
"53",8466,17,"Southampton",129,205,210,216
"54",9798,1793,"Reading",144,210,200,43
"55",9826,1799,"Crystal Palace",173,205,185,119
"56",8344,1961,"Cardiff City",168,210,210,32
"57",8197,95,"Leicester City",164,185,210,114
"58",8678,1943,"Bournemouth",140,200,210,45
"59",9817,1795,"Watford",160,205,205,40
"60",8583,57,"AJ Auxerre",168,164,145,168
"61",9830,71,"FC Nantes",189,160,152,135
"62",9827,59,"Girondins de Bordeaux",139,190,195,404
"63",7819,210,"SM Caen",157,165,205,220
"64",9746,1738,"Le Havre AC",154,180,168,30
"65",9831,72,"OGC Nice",175,165,210,342
"66",8682,1739,"Le Mans FC",115,195,200,79
"67",8689,217,"FC Lorient",158,180,200,378
"68",9748,66,"Olympique Lyonnais",161,185,200,497
"69",9941,1809,"Toulouse FC",158,165,140,339
"70",9829,69,"AS Monaco",168,165,205,287
"71",9847,73,"Paris Saint-Germain",174,191,210,568
"72",8481,1823,"AS Nancy-Lorraine",146,172,210,203
"73",8639,65,"LOSC Lille",152,184,180,450
"74",9851,74,"Stade Rennais FC",167,195,210,367
"75",8592,219,"Olympique de Marseille",169,210,200,462
"76",9874,226,"FC Sochaux-Montbéliard",164,184,165,246
"77",9855,1805,"Grenoble Foot 38",140,195,195,55
"78",9873,110456,"Valenciennes FC",160,188,155,256
"79",9853,1819,"AS Saint-Étienne",165,175,148,371
"80",8588,64,"RC Lens",165,180,200,107
"81",10249,70,"Montpellier Hérault SC",162,160,210,344
"82",4170,111376,"US Boulogne Cote D'Opale",86,165,200,31
"83",108893,111989,"AC Arles-Avignon",156,141,158,21
"84",8521,378,"Stade Brestois 29",161,168,210,99
"85",8576,614,"AC Ajaccio",168,180,140,116
"86",4087,111271,"Évian Thonon Gaillard FC",156,180,165,180
"87",9836,110569,"Dijon FCO",154,165,149,38
"88",9837,379,"Stade de Reims",154,165,140,168
"89",7794,58,"SC Bastia",174,156,210,165
"90",10242,294,"ES Troyes AC",148,150,140,71
"91",9747,62,"En Avant de Guingamp",169,170,145,122
