"","k","Misclassification","Misclassification","Misclassification","Misclassification","Misclassification"
"1","k","Train=90%","Train=80%","Train=70%","Train=60%","Train=50%"
"2","1","0.440613026819923","0.450191570881226","0.478927203065134","0.469348659003831","0.42911877394636"
"3","2","0.363984674329502","0.440613026819923","0.45338441890166","0.426245210727969","0.452107279693487"
"4","3","0.440613026819923","0.431034482758621","0.517241379310345","0.431034482758621","0.452107279693487"
"5","4","0.478927203065134","0.488505747126437","0.510855683269476","0.454980842911877","0.482758620689655"
"6","5","0.421455938697318","0.507662835249042","0.478927203065134","0.421455938697318","0.459770114942529"
"7","6","0.440613026819923","0.49808429118774","0.510855683269476","0.445402298850575","0.455938697318008"
"8","7","0.421455938697318","0.49808429118774","0.498084291187739","0.478927203065134","0.444444444444444"
"9","8","0.421455938697318","0.459770114942529","0.45338441890166","0.474137931034483","0.432950191570881"
"10","9","0.383141762452107","0.459770114942529","0.472541507024266","0.459770114942529","0.455938697318008"
"11","10","0.325670498084291","0.459770114942529","0.472541507024266","0.483716475095785","0.417624521072797"
"12","11","0.344827586206897","0.450191570881226","0.491698595146871","0.46455938697318","0.444444444444444"
"13","12","0.402298850574713","0.440613026819923","0.485312899106003","0.454980842911877","0.444444444444444"
"14","13","0.383141762452107","0.363984674329502","0.478927203065134","0.450191570881226","0.459770114942529"
"15","14","0.402298850574713","0.411877394636015","0.472541507024266","0.440613026819923","0.432950191570881"
"16","15","0.459770114942529","0.39272030651341","0.466155810983397","0.421455938697318","0.42911877394636"
"17","16","0.344827586206897","0.373563218390805","0.517241379310345","0.435823754789272","0.421455938697318"
"18","17","0.363984674329502","0.411877394636015","0.498084291187739","0.411877394636015","0.448275862068966"
"19","18","0.325670498084291","0.373563218390805","0.510855683269476","0.426245210727969","0.452107279693487"
"20","19","0.344827586206897","0.431034482758621","0.498084291187739","0.407088122605364","0.436781609195402"
"21","20","0.306513409961686","0.411877394636015","0.498084291187739","0.39272030651341","0.436781609195402"
"22","21","0.325670498084291","0.440613026819923","0.510855683269476","0.421455938697318","0.436781609195402"
"23","22","0.325670498084291","0.431034482758621","0.504469987228608","0.431034482758621","0.432950191570881"
"24","23","0.363984674329502","0.440613026819923","0.517241379310345","0.426245210727969","0.436781609195402"
"25","24","0.325670498084291","0.459770114942529","0.504469987228608","0.426245210727969","0.452107279693487"
"26","25","0.363984674329502","0.450191570881226","0.498084291187739","0.450191570881226","0.455938697318008"
