"","k","Misclassification","Misclassification","Misclassification","Misclassification","Misclassification"
"1","k","Train=90%","Train=80%","Train=70%","Train=60%","Train=50%"
"2","1","0.555555555555556","0.593869731800766","0.466155810983397","0.450191570881226","0.505747126436782"
"3","2","0.421455938697318","0.507662835249042","0.472541507024266","0.531609195402299","0.521072796934866"
"4","3","0.363984674329502","0.574712643678161","0.491698595146871","0.431034482758621","0.490421455938697"
"5","4","0.478927203065134","0.555555555555556","0.466155810983397","0.445402298850575","0.455938697318008"
"6","5","0.421455938697318","0.507662835249042","0.472541507024266","0.431034482758621","0.475095785440613"
"7","6","0.440613026819923","0.450191570881226","0.478927203065134","0.488505747126437","0.524904214559387"
"8","7","0.402298850574713","0.488505747126437","0.478927203065134","0.512452107279693","0.494252873563218"
"9","8","0.402298850574713","0.431034482758621","0.459770114942529","0.512452107279693","0.482758620689655"
"10","9","0.344827586206897","0.440613026819923","0.466155810983397","0.474137931034483","0.482758620689655"
"11","10","0.363984674329502","0.450191570881226","0.478927203065134","0.469348659003831","0.42911877394636"
"12","11","0.363984674329502","0.450191570881226","0.466155810983397","0.474137931034483","0.440613026819923"
"13","12","0.325670498084291","0.440613026819923","0.459770114942529","0.469348659003831","0.475095785440613"
"14","13","0.344827586206897","0.478927203065134","0.446998722860792","0.474137931034483","0.436781609195402"
"15","14","0.383141762452107","0.459770114942529","0.478927203065134","0.435823754789272","0.444444444444444"
"16","15","0.344827586206897","0.517241379310345","0.45338441890166","0.459770114942529","0.467432950191571"
"17","16","0.402298850574713","0.526819923371648","0.459770114942529","0.459770114942529","0.46360153256705"
"18","17","0.383141762452107","0.49808429118774","0.459770114942529","0.478927203065134","0.421455938697318"
"19","18","0.363984674329502","0.440613026819923","0.466155810983397","0.474137931034483","0.402298850574713"
"20","19","0.363984674329502","0.488505747126437","0.472541507024266","0.478927203065134","0.409961685823755"
"21","20","0.402298850574713","0.440613026819923","0.459770114942529","0.454980842911877","0.436781609195402"
"22","21","0.383141762452107","0.431034482758621","0.478927203065134","0.454980842911877","0.413793103448276"
"23","22","0.363984674329502","0.440613026819923","0.472541507024266","0.46455938697318","0.425287356321839"
"24","23","0.344827586206897","0.421455938697318","0.45338441890166","0.445402298850575","0.417624521072797"
"25","24","0.363984674329502","0.431034482758621","0.459770114942529","0.46455938697318","0.406130268199234"
"26","25","0.383141762452107","0.411877394636015","0.434227330779055","0.488505747126437","0.425287356321839"
